,stockName,nTrading,finalCapital,onHold
0,000001.SZ,0,8023.952095808384,1
1,000002.SZ,0,7222.559126743482,1
2,000004.SZ,0,10000.0,0
3,000005.SZ,0,10000.0,0
4,000006.SZ,0,10000.0,0
5,000007.SZ,0,10000.0,0
6,000008.SZ,0,10000.0,0
7,000009.SZ,0,10000.0,0
8,000010.SZ,0,10000.0,0
9,000011.SZ,0,10000.0,0
10,000012.SZ,0,10000.0,0
11,000014.SZ,0,10000.0,0
12,000016.SZ,0,10000.0,0
13,000017.SZ,0,10000.0,0
14,000018.SZ,0,10000.0,0
15,000019.SZ,0,10000.0,0
16,000020.SZ,0,10000.0,0
17,000021.SZ,0,10000.0,0
18,000022.SZ,0,10000.0,0
19,000023.SZ,0,10000.0,0
20,000025.SZ,0,10000.0,0
21,000026.SZ,0,10000.0,0
22,000027.SZ,0,10000.0,0
23,000028.SZ,0,10000.0,0
24,000030.SZ,0,10000.0,0
25,000031.SZ,0,10000.0,0
26,000032.SZ,0,10000.0,0
27,000034.SZ,0,10000.0,0
28,000035.SZ,0,10000.0,0
29,000036.SZ,0,5899.357601713063,1
30,000037.SZ,0,10000.0,0
31,000038.SZ,0,10000.0,0
32,000039.SZ,0,10000.0,0
33,000040.SZ,0,10000.0,0
34,000042.SZ,0,10000.0,0
35,000043.SZ,0,10000.0,0
36,000045.SZ,0,10000.0,0
37,000046.SZ,0,10000.0,0
38,000048.SZ,0,10000.0,0
39,000049.SZ,0,10000.0,0
40,000050.SZ,0,10000.0,0
41,000055.SZ,0,10000.0,0
42,000056.SZ,0,10000.0,0
43,000058.SZ,0,10000.0,0
44,000059.SZ,0,10000.0,0
45,000060.SZ,0,4103.626943005181,1
46,000061.SZ,0,10000.0,0
47,000062.SZ,0,10000.0,0
48,000063.SZ,0,6177.861873226111,1
49,000065.SZ,0,10000.0,0
50,000066.SZ,0,10000.0,0
51,000068.SZ,0,10000.0,0
52,000069.SZ,0,7079.152731326643,1
53,000070.SZ,0,10000.0,0
54,000078.SZ,0,10000.0,0
55,000088.SZ,0,10000.0,0
56,000089.SZ,0,10000.0,0
57,000090.SZ,0,10000.0,0
58,000096.SZ,0,10000.0,0
59,000099.SZ,0,10000.0,0
60,000100.SZ,0,10000.0,0
61,000150.SZ,0,10000.0,0
62,000151.SZ,0,6759.075907590759,1
63,000153.SZ,0,10000.0,0
64,000155.SZ,0,10000.0,0
65,000156.SZ,0,10000.0,0
66,000157.SZ,0,10000.0,0
67,000158.SZ,0,10000.0,0
68,000159.SZ,0,10000.0,0
69,000166.SZ,0,10000.0,0
70,000301.SZ,0,10000.0,0
71,000333.SZ,1,8999.240726998964,1
72,000338.SZ,1,11045.16129032258,0
73,000400.SZ,0,10000.0,0
74,000401.SZ,1,11234.375,0
75,000402.SZ,0,10000.0,0
76,000403.SZ,0,10000.0,0
77,000404.SZ,0,10000.0,0
78,000407.SZ,0,10000.0,0
79,000408.SZ,0,10000.0,0
80,000409.SZ,0,10000.0,0
81,000410.SZ,1,11242.29979466119,0
82,000411.SZ,0,10000.0,0
83,000413.SZ,0,10000.0,0
84,000415.SZ,0,10000.0,0
85,000416.SZ,0,10000.0,0
86,000417.SZ,0,10000.0,0
87,000418.SZ,0,10000.0,0
88,000419.SZ,0,10000.0,0
89,000420.SZ,0,10000.0,0
90,000421.SZ,0,10000.0,0
91,000422.SZ,0,10000.0,0
92,000423.SZ,0,10000.0,0
93,000425.SZ,0,10000.0,0
94,000426.SZ,1,11020.618556701033,0
95,000428.SZ,0,10000.0,0
96,000429.SZ,0,10000.0,0
97,000430.SZ,0,10000.0,0
98,000488.SZ,1,11203.473945409427,0
99,000498.SZ,0,10000.0,0
100,000501.SZ,0,10000.0,0
101,000502.SZ,0,10000.0,0
102,000503.SZ,1,11166.134185303516,0
103,000504.SZ,0,10000.0,0
104,000505.SZ,0,10000.0,0
105,000506.SZ,0,10000.0,0
106,000507.SZ,0,10000.0,0
107,000509.SZ,0,10000.0,0
108,000510.SZ,0,10000.0,0
109,000513.SZ,0,10000.0,0
110,000514.SZ,0,10000.0,0
111,000516.SZ,0,10000.0,0
112,000517.SZ,0,10000.0,0
113,000518.SZ,0,10000.0,0
114,000519.SZ,0,10000.0,0
115,000520.SZ,0,10000.0,0
116,000521.SZ,0,10000.0,0
117,000523.SZ,0,10000.0,0
118,000524.SZ,0,10000.0,0
119,000525.SZ,0,10000.0,0
120,000528.SZ,0,10000.0,0
121,000529.SZ,0,10000.0,0
122,000530.SZ,0,10000.0,0
123,000531.SZ,0,10000.0,0
124,000532.SZ,0,10000.0,0
125,000533.SZ,0,10000.0,0
126,000534.SZ,0,10000.0,0
127,000536.SZ,0,10000.0,0
128,000537.SZ,0,5137.174211248285,1
129,000538.SZ,0,10000.0,0
130,000539.SZ,0,10000.0,0
131,000541.SZ,0,10000.0,0
132,000543.SZ,0,10000.0,0
133,000544.SZ,0,10000.0,0
134,000545.SZ,0,10000.0,0
135,000546.SZ,0,10000.0,0
136,000547.SZ,0,10000.0,0
137,000548.SZ,0,10000.0,0
138,000550.SZ,0,10000.0,0
139,000551.SZ,0,10000.0,0
140,000552.SZ,0,10000.0,0
141,000553.SZ,0,10000.0,0
142,000554.SZ,0,10000.0,0
143,000555.SZ,0,10000.0,0
144,000557.SZ,0,10000.0,0
145,000558.SZ,0,10000.0,0
146,000559.SZ,0,10000.0,0
147,000560.SZ,0,10000.0,0
148,000561.SZ,0,10000.0,0
149,000563.SZ,0,10000.0,0
150,000564.SZ,0,10000.0,0
151,000565.SZ,0,10000.0,0
152,000566.SZ,0,10000.0,0
153,000567.SZ,0,10000.0,0
154,000568.SZ,2,12906.819062378923,0
155,000570.SZ,0,10000.0,0
156,000571.SZ,0,10000.0,0
157,000572.SZ,0,10000.0,0
158,000573.SZ,0,10000.0,0
159,000576.SZ,0,10000.0,0
160,000581.SZ,0,10000.0,0
161,000582.SZ,0,10000.0,0
162,000584.SZ,0,10000.0,0
163,000585.SZ,0,10000.0,0
164,000586.SZ,0,10000.0,0
165,000587.SZ,0,10000.0,0
166,000589.SZ,0,10000.0,0
167,000590.SZ,0,10000.0,0
168,000591.SZ,0,10000.0,0
169,000592.SZ,0,10000.0,0
170,000593.SZ,0,10000.0,0
