,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20210423,23.32,23.65,23.07,23.29,22.98,0.31,1.349,823230.15,1920413.502
1,000002.SZ,20210423,28.5,28.55,27.92,28.09,29.02,-0.93,-3.2047,1292568.62,3642929.927
2,000004.SZ,20210423,18.39,18.88,18.01,18.64,18.33,0.31,1.6912,28890.11,53502.992
3,000005.SZ,20210423,2.33,2.33,2.27,2.29,2.3,-0.01,-0.4348,59994.13,13736.471
4,000006.SZ,20210423,5.52,5.54,5.36,5.37,5.52,-0.15,-2.7174,119488.34,64891.365
5,000007.SZ,20210423,3.77,3.83,3.7,3.73,3.81,-0.08,-2.0997,140721.32,52688.187
6,000008.SZ,20210423,2.3,2.3,2.25,2.28,2.3,-0.02,-0.8696,206769.0,46868.071
7,000009.SZ,20210423,10.48,10.55,10.24,10.5,10.38,0.12,1.1561,539148.1,560620.512
8,000010.SZ,20210423,4.45,4.65,4.34,4.38,4.5,-0.12,-2.6667,270076.01,120118.705
9,000011.SZ,20210423,13.55,13.55,13.03,13.05,13.59,-0.54,-3.9735,111801.77,147656.006
10,000012.SZ,20210423,8.26,8.31,8.08,8.17,8.35,-0.18,-2.1557,493775.97,403922.279
11,000014.SZ,20210423,8.27,8.47,8.22,8.45,8.25,0.2,2.4242,53338.04,44624.186
12,000016.SZ,20210423,6.26,6.33,6.19,6.29,6.26,0.03,0.4792,212964.93,133544.189
13,000017.SZ,20210423,2.87,2.89,2.83,2.85,2.88,-0.03,-1.0417,20507.0,5845.113
14,000019.SZ,20210423,7.17,7.17,7.02,7.03,7.12,-0.09,-1.264,37964.2,26812.401
15,000020.SZ,20210423,9.45,9.45,9.13,9.26,9.38,-0.12,-1.2793,13220.73,12215.64
16,000021.SZ,20210423,18.73,18.8,18.41,18.55,18.69,-0.14,-0.7491,177838.59,329288.858
17,000023.SZ,20210423,16.13,16.17,15.72,15.86,16.13,-0.27,-1.6739,2516.1,4001.36
18,000025.SZ,20210423,14.96,14.97,14.7,14.78,14.93,-0.15,-1.0047,20932.55,31003.275
19,000026.SZ,20210423,16.61,16.76,16.45,16.49,16.63,-0.14,-0.8419,54190.98,89816.16
20,000027.SZ,20210423,9.29,9.43,8.9,9.04,9.12,-0.08,-0.8772,1021253.5,926005.724
21,000028.SZ,20210423,43.87,44.05,43.3,43.85,43.87,-0.02,-0.0456,23488.54,102752.081
22,000029.SZ,20210423,7.63,7.66,7.52,7.55,7.61,-0.06,-0.7884,28796.8,21782.418
23,000030.SZ,20210423,7.4,7.42,7.25,7.41,7.34,0.07,0.9537,36120.9,26457.085
24,000031.SZ,20210423,3.87,3.87,3.8,3.82,3.85,-0.03,-0.7792,48477.02,18497.32
25,000032.SZ,20210423,20.95,21.05,20.21,20.36,20.92,-0.56,-2.6769,13146.98,27025.912
26,000034.SZ,20210423,17.97,17.97,17.23,17.34,17.99,-0.65,-3.6131,111590.83,194822.32
27,000035.SZ,20210423,4.34,4.36,4.16,4.26,4.34,-0.08,-1.8433,93755.5,39770.152
28,000036.SZ,20210423,3.85,3.86,3.79,3.81,3.83,-0.02,-0.5222,27170.26,10380.412
29,000037.SZ,20210423,8.51,8.52,8.21,8.27,8.48,-0.21,-2.4764,57840.0,47978.886
30,000038.SZ,20210423,10.89,11.85,10.77,11.55,10.89,0.66,6.0606,74075.82,85026.698
31,000039.SZ,20210423,15.88,15.93,15.56,15.76,15.96,-0.2,-1.2531,136079.98,214305.509
32,000040.SZ,20210423,2.67,2.67,2.58,2.61,2.67,-0.06,-2.2472,194325.85,50843.584
33,000042.SZ,20210423,8.77,8.87,8.77,8.8,8.8,0.0,0.0,2971.0,2611.857
