date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma10,ta10
2015-01-05,sh.600375,12.1900000000,12.2400000000,11.6400000000,11.9400000000,12.1700000000,17124756,204263543.0000,2,3.223535,1,-1.889900,0,,
2015-01-06,sh.600375,11.9400000000,12.3900000000,11.8400000000,12.3600000000,11.9400000000,13214077,161245824.0000,2,2.4873950000000002,1,3.517600,0,,
2015-01-07,sh.600375,12.2900000000,12.3500000000,12.0900000000,12.2100000000,12.3600000000,8522928,103980757.0000,2,1.604342,1,-1.213600,0,,
2015-01-08,sh.600375,12.2400000000,12.4700000000,12.0400000000,12.2400000000,12.2100000000,10473774,128566816.0000,2,1.9715650000000002,1,0.245700,0,,
2015-01-09,sh.600375,12.2900000000,12.5200000000,12.1000000000,12.1200000000,12.2400000000,9762774,120774909.0000,2,1.8377279999999998,1,-0.980400,0,,
2015-01-12,sh.600375,12.1200000000,12.1200000000,11.6400000000,11.7200000000,12.1200000000,9278643,109942152.0000,2,1.7465959999999998,1,-3.300300,0,,
2015-01-13,sh.600375,11.7500000000,11.9600000000,11.7100000000,11.8900000000,11.7200000000,5944265,70402386.0000,2,1.118938,1,1.450500,0,,
2015-01-14,sh.600375,11.9100000000,11.9100000000,11.5000000000,11.6200000000,11.8900000000,9391799,109489267.0000,2,1.767896,1,-2.270800,0,,
2015-01-15,sh.600375,11.6000000000,11.7300000000,11.5500000000,11.6900000000,11.6200000000,5993726,69838157.0000,2,1.128249,1,0.602400,0,,
2015-01-16,sh.600375,11.6900000000,11.8200000000,11.6500000000,11.8100000000,11.6900000000,7309885,85851834.0000,2,1.376,1,1.026500,0,11.96,1.8262244000000003
2015-01-19,sh.600375,10.6300000000,10.9600000000,10.6300000000,10.6300000000,11.8100000000,23136767,247017853.0000,2,4.355226,1,-9.991500,0,11.829000000000002,1.9393935000000007
2015-01-20,sh.600375,10.2800000000,10.4800000000,9.9100000000,10.2800000000,10.6300000000,28152184,285541024.0000,2,5.299319000000001,1,-3.292600,0,11.621000000000002,2.2205859000000006
2015-01-21,sh.600375,10.2400000000,10.6000000000,10.1400000000,10.5900000000,10.2800000000,20491621,213203837.0000,2,3.857308,1,3.015600,0,11.459000000000003,2.4458825000000006
